CustomerID,StockCode,Description,Quantity,UnitPrice
12347,20780,"BLACK EAR MUFF HEADPHONES",12,4.65
12347,20782,"CAMOUFLAGE EAR MUFF HEADPHONES",6,5.49
12347,21064,"BOOM BOX SPEAKER BOYS",6,5.95
12347,21171,"BATHROOM METAL SIGN ",12,1.45
12347,21731,"RED TOADSTOOL LED NIGHT LIGHT",12,1.65
12347,22195,"LARGE HEART MEASURING SPOONS",12,1.65
12347,22212,"FOUR HOOK  WHITE LOVEBIRDS",6,2.1
12347,22375,"AIRLINE BAG VINTAGE JET SET BROWN",4,4.25
12347,22492,"MINI PAINT SET VINTAGE ",36,0.65
12347,22494,"EMERGENCY FIRST AID TIN ",12,1.25
12347,22497,"SET OF 2 TINS VINTAGE BATHROOM",4,4.25
12347,22725,"ALARM CLOCK BAKELIKE CHOCOLATE",4,3.75
12347,22726,"ALARM CLOCK BAKELIKE GREEN",4,3.75
12347,22727,"ALARM CLOCK BAKELIKE RED ",4,3.75
12347,22728,"ALARM CLOCK BAKELIKE PINK",4,3.75
12347,22729,"ALARM CLOCK BAKELIKE ORANGE",4,3.75
12347,22771,"CLEAR DRAWER KNOB ACRYLIC EDWARDIAN",12,1.25
12347,22772,"PINK DRAWER KNOB ACRYLIC EDWARDIAN",12,1.25
12347,22773,"GREEN DRAWER KNOB ACRYLIC EDWARDIAN",12,1.25
12347,22774,"RED DRAWER KNOB ACRYLIC EDWARDIAN",12,1.25
12347,22775,"PURPLE DRAWERKNOB ACRYLIC EDWARDIAN",12,1.25
12347,22805,"BLUE DRAWER KNOB ACRYLIC EDWARDIAN",12,1.25
12347,71477,"COLOUR GLASS. STAR T-LIGHT HOLDER",12,3.25
12347,84558A,"3D DOG PICTURE PLAYING CARDS",24,2.95
12347,84969,"BOX OF 6 ASSORTED COLOUR TEASPOONS",6,4.25
12347,84997B,"RED 3 PIECE RETROSPOT CUTLERY SET",6,3.75
12347,84997C,"BLUE 3 PIECE POLKADOT CUTLERY SET",6,3.75
12347,84997D,"PINK 3 PIECE POLKADOT CUTLERY SET",6,3.75
12347,85116,"BLACK CANDELABRA T-LIGHT HOLDER",12,2.1
12347,85167B,"BLACK GRAND BAROQUE PHOTO FRAME",30,1.25
12347,85232D,"SET/3 DECOUPAGE STACKING TINS",3,4.95
12348,21211,"SET OF 72 SKULL PAPER  DOILIES",72,1.45
12348,21213,"PACK OF 72 SKULL CAKE CASES",24,0.55
12348,21213,"PACK OF 72 SKULL CAKE CASES",120,0.42
12348,21725,"SWEETIES  STICKERS",48,0.85
12348,21977,"PACK OF 60 PINK PAISLEY CAKE CASES",120,0.42
12348,21977,"PACK OF 60 PINK PAISLEY CAKE CASES",24,0.55
12348,21981,"PACK OF 12 WOODLAND TISSUES",144,0.29
12348,21982,"PACK OF 12 SUKI TISSUES",144,0.29
12348,22616,"PACK OF 12 LONDON TISSUES",72,0.29
12348,22951,"60 CAKE CASES DOLLY GIRL DESIGN",72,0.55
12348,22952,"60 CAKE CASES VINTAGE CHRISTMAS",120,0.42
12348,22952,"60 CAKE CASES VINTAGE CHRISTMAS",24,0.55
12348,84988,"SET OF 72 PINK HEART PAPER DOILIES",48,1.45
12348,84991,"60 TEATIME FAIRY CAKE CASES",120,0.42
12348,84991,"60 TEATIME FAIRY CAKE CASES",24,0.55
12348,84992,"72 SWEETHEART FAIRY CAKE CASES",72,0.55
12348,POST,POSTAGE,6,40
12370,18097C,"WHITE TALL PORCELAIN T-LIGHT HOLDER",5,2.55
12370,20707,"CRAZY DAISY HEART DECORATION",1,1.25
12370,20846,"ZINC HEART LATTICE T-LIGHT HOLDER",20,1.25
12370,20961,"STRAWBERRY BATH SPONGE ",10,1.25
12370,20963,"APPLE BATH SPONGE",10,1.25
12370,20966,"SANDWICH BATH SPONGE",10,1.25
12370,20967,"GREY FLORAL FELTCRAFT SHOULDER BAG",1,3.75
12370,20969,"RED FLORAL FELTCRAFT SHOULDER BAG",1,3.75
12370,20970,"PINK FLORAL FELTCRAFT SHOULDER BAG",1,3.75
